# clang-refold layer manifest.
#
# One line per C/C++ file under clang-tools-extra/clang-refold:
#
#   <path relative to the tool root>  <layer>  [# note]
#
# Layers, lowest first: support, model, carriers, analysis, proof, planning,
# emission, core, tool.  A file may include files in its own layer or any lower
# layer.  docs/Architecture.md defines each layer; utils/check_refold_layers.py
# enforces this file, and a .cpp must share its header's layer.
#
# Assignments were made by reading each file's purpose, types and consumers,
# not by directory.  When a file is added, split or moved, update this file in
# the same commit.  A note records why a non-obvious assignment was chosen.

# support: domain-free utilities.  No clang-refold domain types.
macro/RefoldMacroReplayStabilityValidator.cpp                proof
macro/RefoldMacroStateProof.h                                proof
macro/RefoldMacroStateProof.cpp                              proof
macro/RefoldMacroSubtreeReplayValidator.h                    proof
macro/RefoldMacroSubtreeReplayValidator.cpp                  proof
proof/RefoldAcceptancePathClassifier.h                       proof
proof/RefoldAcceptancePathClassifier.cpp                     proof
proof/RefoldAcceptedCandidateBuilder.h                       proof
proof/RefoldAcceptedCandidateBuilder.cpp                     proof
proof/RefoldAcceptedResultRanker.h                           proof
proof/RefoldAcceptedResultRanker.cpp                         proof
proof/RefoldMacroPatchProofClassifier.h                      proof
proof/RefoldMacroPatchProofClassifier.cpp                    proof
proof/RefoldNeutralityProof.h                                proof
proof/RefoldNeutralityProof.cpp                              proof
proof/RefoldOwnerRealizationProofBuilder.h                   proof
proof/RefoldOwnerRealizationProofBuilder.cpp                 proof
proof/RefoldOwnerStateProof.h                                proof
proof/RefoldOwnerStateProof.cpp                              proof
proof/RefoldProofServices.h                                  proof
proof/RefoldProofServices.cpp                                proof
proof/RefoldProofSummaryBuilder.h                            proof
proof/RefoldProofSummaryBuilder.cpp                          proof
proof/RefoldStructuralGapCrossingProof.h                     proof
proof/RefoldStructuralGapCrossingProof.cpp                   proof
proof/RefoldStructuralHunkTilingProof.h                      proof
proof/RefoldStructuralHunkTilingProof.cpp                    proof
proof/RefoldTerminalProofSink.h                              proof
proof/RefoldTerminalProofSink.cpp                            proof
proof/RefoldTheoremAudit.h                                   proof
proof/RefoldTheoremAudit.cpp                                 proof
proof/RefoldWitnessClassifier.h                              proof
proof/RefoldWitnessClassifier.cpp                            proof
proof/RefoldWitnessEquivalenceKeyBuilder.h                   proof
proof/RefoldWitnessEquivalenceKeyBuilder.cpp                 proof
proof/RefoldWitnessResolver.h                                proof
proof/RefoldWitnessResolver.cpp                              proof
proof/RefoldWitnessTrace.h                                   proof
proof/RefoldWitnessTrace.cpp                                 proof
source/RefoldSourceGapProof.h                                proof
source/RefoldSourceGapProof.cpp                              proof

# planning: candidate, patch and edit construction.
edit/RefoldBInsertionLedger.h                                planning  # claims pure B insertions for candidate construction through the owner classifier
edit/RefoldBInsertionLedger.cpp                              planning
edit/RefoldExpansionFallbackPlanner.h                        planning
edit/RefoldExpansionFallbackPlanner.cpp                      planning
edit/RefoldTUEditPlanner.h                                   planning
edit/RefoldTUEditPlanner.cpp                                 planning
include/RefoldHeaderIncludeEditPlanner.h                     planning
include/RefoldHeaderIncludeEditPlanner.cpp                   planning
include/RefoldIncludeInsertionPlanner.h                      planning
include/RefoldIncludeInsertionPlanner.cpp                    planning
include/RefoldIncludeSubtreeWorkClassifier.h                 planning  # a query over dispatcher staging state
include/RefoldIncludeSubtreeWorkClassifier.cpp               planning
line-control/RefoldLineObserverLayout.h                      planning
line-control/RefoldLineObserverLayout.cpp                    planning
macro/RefoldCounterStabilization.h                           planning
macro/RefoldCounterStabilization.cpp                         planning
macro/RefoldMacroArgsOnlyTemplateSolver.h                    planning
macro/RefoldMacroArgsOnlyTemplateSolver.cpp                  planning
macro/RefoldMacroArgsOnlyWholeCoverPhase.h                   planning
macro/RefoldMacroArgsOnlyWholeCoverPhase.cpp                 planning
macro/RefoldMacroDAGCandidateValidator.h                     planning  # DAG lifting pipeline: builds root MacroPatch candidates
macro/RefoldMacroDAGCandidateValidator.cpp                   planning
macro/RefoldMacroDAGInvertibilitySolver.h                    planning
macro/RefoldMacroDAGInvertibilitySolver.cpp                  planning
macro/RefoldMacroDAGLeafDiscoveryPhase.h                     planning
macro/RefoldMacroDAGLeafDiscoveryPhase.cpp                   planning
macro/RefoldMacroDAGLiftingContext.h                         planning
macro/RefoldMacroDAGLiftingPhase.h                           planning
macro/RefoldMacroDAGLiftingPhase.cpp                         planning
macro/RefoldMacroDAGSharedHelpers.h                          planning
macro/RefoldMacroDAGStructuredLifter.h                       planning
macro/RefoldMacroDAGStructuredLifter.cpp                     planning
macro/RefoldMacroDAGSubtreeCertifier.h                       planning
macro/RefoldMacroDAGSubtreeCertifier.cpp                     planning
macro/RefoldMacroDAGTextPrimitives.h                         planning
macro/RefoldMacroDAGTextPrimitives.cpp                       planning
macro/RefoldMacroDefinitionTapeSolver.h                      planning
macro/RefoldMacroDefinitionTapeSolver.cpp                    planning
macro/RefoldMacroFinalCandidateSelector.h                    planning
macro/RefoldMacroFinalCandidateSelector.cpp                  planning
macro/RefoldMacroGeneratedCalleeReplayEngine.h               planning
macro/RefoldMacroGeneratedCalleeReplayEngine.cpp             planning
macro/RefoldMacroGeneratedLeafReplayEngine.h                 planning
macro/RefoldMacroGeneratedLeafReplayEngine.cpp               planning
macro/RefoldMacroPasteArgumentBuilder.h                      planning
macro/RefoldMacroPasteArgumentBuilder.cpp                    planning
macro/RefoldMacroPatchPlanner.h                              planning
macro/RefoldMacroPatchPlanner.cpp                            planning
macro/RefoldMacroPatchReusePhase.h                           planning
macro/RefoldMacroPatchReusePhase.cpp                         planning
macro/RefoldMacroRecursiveTupleGeneratedReplay.h             planning
macro/RefoldMacroRecursiveTupleGeneratedReplay.cpp           planning
macro/RefoldMacroSelectorSubstitutionPhase.h                 planning
macro/RefoldMacroSelectorSubstitutionPhase.cpp               planning
macro/RefoldMacroStandardArgsOnlyGeneratedReplay.cpp         planning  # private split of RefoldMacroStandardArgsOnlyPatchBuilder
macro/RefoldMacroStandardArgsOnlyInternals.h                 planning
macro/RefoldMacroStandardArgsOnlyOccurrence.cpp              planning
macro/RefoldMacroStandardArgsOnlyPatchBuilder.h              planning
macro/RefoldMacroStandardArgsOnlyPatchBuilder.cpp            planning
macro/RefoldMacroStandardArgsOnlyProof.cpp                   planning
macro/RefoldMacroStateRepairPlanner.h                        planning
macro/RefoldMacroStateRepairPlanner.cpp                      planning
macro/RefoldMacroWholeCoverOrchestrator.h                    planning
macro/RefoldMacroWholeCoverOrchestrator.cpp                  planning
macro/RefoldMacroWholeCoverPlanBuilder.h                     planning
macro/RefoldMacroWholeCoverPlanBuilder.cpp                   planning
macro/RefoldMacroWholeCoverPlanningContext.h                 planning
sideband/RefoldSidebandPragmaEdits.h                         planning
sideband/RefoldSidebandPragmaEdits.cpp                       planning
source/RefoldStructuralHunkDispatcher.h                      planning
source/RefoldStructuralHunkDispatcher.cpp                    planning
source/RefoldStructuralHunkTilingPlanner.h                   planning
source/RefoldStructuralHunkTilingPlanner.cpp                 planning

# emission: final assembly, materialization, output line control, closing verification.
edit/RefoldFinalAssemblyVerifier.h                           emission
edit/RefoldFinalAssemblyVerifier.cpp                         emission
edit/RefoldFinalTUEmissionPlanner.h                          emission
edit/RefoldFinalTUEmissionPlanner.cpp                        emission
edit/RefoldTextEditAssembler.h                               emission
edit/RefoldTextEditAssembler.cpp                             emission
include/RefoldIncludeMaterializationScheduler.h              emission
include/RefoldIncludeMaterializationScheduler.cpp            emission
include/RefoldIncludeMaterializer.h                          emission
include/RefoldIncludeMaterializer.cpp                        emission
include/RefoldPragmaOnceGuardRewriter.h                      emission
include/RefoldPragmaOnceGuardRewriter.cpp                    emission
line-control/RefoldNoLinesPruning.h                          emission
line-control/RefoldNoLinesPruning.cpp                        emission

# core: orchestration and service composition.
core/RefoldAlignmentSemanticIntegration.cpp                  core  # implements RefoldEngine
core/RefoldEngine.h                                          core
core/RefoldEngine.cpp                                        core
core/RefoldRunController.cpp                                 core
core/RefoldServiceGraphBuilder.cpp                           core  # implements RefoldEngine

# tool
clang-refold.cpp                                             tool
